station_id,name,address,lat,lon,is_virtual_station,capacity,points_of_interests,public_tansport,nearest_beach,distance_to_beach_m,rent_num,depo_num,night_rent_num,morning_rent_num,afternoon_rent_num,evening_rent_num,rent_num_right,bilans
3953,GDA125,"Aleja Grunwaldzka 232/4, 80-266 Gdańsk",54.3893661,18.5875447,true,10,1,0,Plaza Brzezno - Molo,3601.446496554709,10398,10043,488,3365,5352,1402,10398,-355
3954,GDA126,"Braci Lewoniewskich 2a, 80-465 Gdańsk",54.3870902,18.5920846,true,10,2,2,Plaza Brzezno - Molo,3616.903118059927,7116,6955,255,1517,3876,1599,7116,-161
3955,GDA127,"Karola Szymanowskiego 2, 80-280 Gdańsk",54.3861257,18.592266,true,10,1,1,Plaza Brzezno - Molo,3698.2516597822732,10890,10577,722,3948,4867,1526,10890,-313
3957,GDA129,"Bernarda Chrzanowskiego 38, 80-278 Gdańsk",54.384644,18.581958,true,10,1,0,Plaza Brzezno - Molo,4235.075255299174,3116,3008,314,1161,1300,424,3116,-108
3958,GDA130,"Karola Szymanowskiego 14, 80-280 Gdańsk",54.3838928,18.5883165,true,10,2,0,Plaza Brzezno - Molo,4048.058937050578,15102,14925,1370,4531,6945,2538,15102,-177
3959,GDA131,"prof. Witolda Andruszkiewicza 5, 80-601 Gdańsk",54.36695895343297,18.692842698375728,true,10,1,0,Plaza Stogi,2444.508288988432,583,482,4,57,507,17,583,-101
3960,GDA132,"Juliusza Słowackiego 29/87, 80-257 Gdańsk",54.3807519,18.5881958,true,10,3,1,Plaza Brzezno - Molo,4342.109866425678,13464,13249,1240,4235,6135,2068,13464,-215
3961,GDA133,"Partyzantów 72/82, 80-254 Gdańsk",54.3790489,18.5885755,true,10,0,1,Plaza Brzezno - Molo,4489.879308472373,5799,5606,558,2148,2715,543,5799,-193
3962,GDA134,"Róży Ostrowskiej 74, 80-001 Gdańsk",54.3786056,18.5869609,true,10,0,1,Plaza Brzezno - Molo,4586.570549094383,1456,1308,67,719,660,42,1456,-148
3963,GDA135,"Partyzantów 103, 80-254 Gdańsk",54.3784701,18.5839192,true,10,1,0,Plaza Brzezno - Molo,4706.209881011935,8935,8787,1439,2717,3873,1113,8935,-148
3964,GDA136,"Srebrniki 5, 80-282 Gdańsk",54.3767013,18.5804027,true,10,1,0,Plaza Brzezno - Molo,4997.0544235654315,2951,2832,207,1153,1456,183,2951,-119
3965,GDA137,"Juliusza Słowackiego 89, 80-283 Gdańsk",54.3772656,18.5718838,true,10,0,3,Plaza Brzezno - Molo,5282.785042031698,4430,4202,609,1396,1960,573,4430,-228
3966,GDA138,"Góralska 51A, 80-292 Gdańsk",54.380102,18.5599233,true,10,0,2,Plaza Brzezno - Molo,5596.877201435133,3648,3588,928,1096,1437,301,3648,-60
3967,GDA139,"Góralska 13B, 80-292 Gdańsk",54.3765635,18.5648296,true,10,1,0,Plaza Brzezno - Molo,5644.565680902323,3423,3255,553,1138,1414,434,3423,-168
3968,GDA140,"Mazowiecka 1, 80-292 Gdańsk",54.374532,18.5669034,true,10,1,2,Plaza Brzezno - Molo,5723.267032557541,6037,5852,766,1854,2629,897,6037,-185
3969,GDA141,"Jerzego Waldorffa 3, 80-283 Gdańsk",54.3669795,18.5490937,true,10,0,1,Plaza Brzezno - Molo,7119.153749877779,1329,1283,197,435,571,137,1329,-46
3970,GDA142,"Potokowa 25, 80-283 Gdańsk",54.3626549,18.5586863,true,10,0,0,Plaza Brzezno - Molo,7087.207355333203,3413,3496,289,1427,1411,333,3413,83
3971,GDA143,"Rakoczego 7, 80-288 Gdańsk",54.3649788,18.5729407,true,10,0,5,Plaza Brzezno - Molo,6352.917876348953,5094,4884,411,1778,2388,627,5094,-210
3972,GDA144,Jana Kilińskiego 35,54.3863544,18.6057714,true,10,3,0,Plaza Brzezno - Molo,3262.711267960276,5746,5601,526,1779,2556,1028,5746,-145
3973,GDA145,Aleja Legionów 15,54.3875896,18.6107299,true,10,0,2,Plaza Brzezno - Molo,3026.3719832920456,5623,5406,690,1635,2585,942,5623,-217
3974,GDA146,Tadeusza Kościuszki 80A,54.3882076,18.6169725,true,10,1,0,Plaza Brzezno - Molo,2865.6758254219662,9162,9075,1256,3226,3682,1246,9162,-87
3975,GDA147,Aleja Generała Józefa Hallera 165,54.3882139,18.6228009,true,10,0,3,Plaza Brzezno - Molo,2825.909781397897,19456,19925,2167,5846,8870,3055,19456,469
3976,GDA148,"Racławicka 17C, 80-407 Gdańsk",54.3870641,18.62887,true,10,0,0,Plaza Brzezno - Molo,2965.664649661582,9502,9513,1650,3106,3894,1127,9502,11
3977,GDA149,Bolesława Chrobrego 27,54.3858291,18.6164044,true,10,3,0,Plaza Brzezno - Molo,3132.5796507493696,4408,4313,592,1720,1754,495,4408,-95
3978,GDA150,"Jana Pestalozziego 1, 80-445 Gdańsk",54.384664,18.6092919,true,10,1,0,Plaza Brzezno - Molo,3364.6936309852454,4575,4473,495,1431,1976,756,4575,-102
