station_id,name,address,lat,lon,capacity,points_of_interests,public_tansport,nearest_beach,distance_to_beach_m,rent_num,depo_num,night_rent_num,morning_rent_num,afternoon_rent_num,evening_rent_num,bilans,total_activity,turnover_rate,morning_ratio,evening_ratio,afternoon_ratio
3876,GDA048,"Chłopska 18, 80-309 Gdańsk",54.408088,18.5898205,10,1,3,Plaza Jelitkowo,2073.6550419802797,16433,16149,980,4457,7528,3824,-284,32582,3258.2,0.2712225400109536,0.23270248889429807,0.45810259842998846
3877,GDA049,"Obrońców Wybrzeża 1, 63-756 Gdańsk",54.4089435,18.5940589,10,0,0,Plaza Jelitkowo,1926.3022932503177,18449,18401,804,5133,9953,2980,-48,36850,3685,0.2782264621388693,0.16152636999295356,0.5394872350804921
3878,GDA050,"Obrońców Wybrzeża 2A, 80-334 Gdańsk",54.4091835,18.5976696,10,5,1,Plaza Brzezno - Molo,1800.910127369354,7460,7424,725,2654,3239,993,-36,14884,1488.4,0.3557640750670241,0.13310991957104557,0.4341823056300268
3879,GDA051,"Obrońców Wybrzeża 19, 80-398 Gdańsk",54.4098525,18.5992425,10,3,0,Plaza Brzezno - Molo,1683.2254861372987,10712,10522,1086,3616,4613,1591,-190,21234,2123.4,0.33756534727408516,0.14852501867064974,0.4306385362210605
3880,GDA052,"Obrońców Wybrzeża 27, 80-365 Gdańsk",54.4108954,18.6041376,10,0,2,Plaza Brzezno - Molo,1347.9944100346495,14030,13817,508,4246,6424,2984,-213,27847,2784.7,0.30263720598717037,0.21268709907341413,0.45787598004276553
3881,GDA053,"Kołobrzeska 67, 80-396 Gdańsk",54.4054598,18.5997007,10,4,0,Plaza Brzezno - Molo,1839.6870821952891,8848,8796,898,3352,3677,1138,-52,17644,1764.4,0.37884267631103075,0.12861663652802893,0.4155741410488246
3882,GDA054,"Kołobrzeska 45, 80-391 Gdańsk",54.4042446,18.5922225,10,0,2,Plaza Brzezno - Molo,2330.5635403375127,8080,7970,971,2655,3243,1447,-110,16050,1605,0.3285891089108911,0.17908415841584158,0.4013613861386139
3883,GDA055,"Śląska 86, 80-389 Gdańsk",54.4069816,18.5890912,10,0,0,Plaza Jelitkowo,2204.7235832315987,3715,3469,324,1411,1466,586,-246,7184,718.4,0.37981157469717364,0.15773889636608346,0.3946164199192463
3884,GDA056,"Kołobrzeska 43, 80-391 Gdańsk",54.4040458,18.5903393,10,1,1,Plaza Brzezno - Molo,2449.71937146888,11210,10588,661,3463,5397,1932,-622,21798,2179.8,0.30892060660124887,0.17234611953612847,0.48144513826940233
3885,GDA057,"aleja Rzeczypospolitej 4/151, 80-369 Gdańsk",54.4020771,18.5914493,10,3,0,Plaza Brzezno - Molo,2490.580418204331,12136,12000,962,3858,5485,2105,-136,24136,2413.6,0.31789716545814106,0.17345088991430455,0.4519611074489123
3886,GDA058,"Kołobrzeska 32, 80-984 Gdańsk",54.4030551,18.5869497,30,0,2,Plaza Jelitkowo,2662.4812283366073,18330,17808,1117,4998,9113,3485,-522,36138,1204.6,0.27266775777414076,0.1901254773595199,0.4971631205673759
3887,GDA059,"Krynicka 29, 80-393 Gdańsk",54.4050124,18.5850847,30,0,0,Plaza Jelitkowo,2491.6512281254154,3768,3272,436,1362,1532,517,-496,7040,234.66666666666666,0.3614649681528662,0.13720806794055201,0.40658174097664546
3888,GDA060,"Beniowskiego 1, 80-382 Gdańsk",54.4062622,18.5795854,30,1,0,Plaza Jelitkowo,2509.9109455983103,12855,12621,848,3997,5672,2569,-234,25476,849.2,0.31092959937767406,0.19984441851419682,0.4412290937378452
